Scanning Geometry: QFANLNRUHU
------------------------------------------------------------
PARAMETER NAME            | GROUP NAME      | VALUE
LE_Trim_X                 | Trim            | 0.0
LE_Trim_X_Chord           | Trim            | 0.0
LE_Trim_Thick             | Trim            | 0.0
LE_Trim_Thick_Chord       | Trim            | 0.0
TE_Cap_Type               | Cap             | 1.0
TE_Cap_Length             | Cap             | 1.0
TE_Cap_Offset             | Cap             | 0.0
TE_Cap_Strength           | Cap             | 0.5
LE_Cap_Type               | Cap             | 1.0
LE_Cap_Length             | Cap             | 1.0
LE_Cap_Offset             | Cap             | 0.0
LE_Cap_Strength           | Cap             | 0.5
TE_Flap_Type              | Flap            | 0.0
TE_Trim_AbsRel            | Flap            | 1.0
TE_Flap_X                 | Flap            | 0.0
TE_Flap_X_Chord           | Flap            | 0.2
TE_Flap_Y_Frc             | Flap            | 0.5
TE_Flap_Deflection        | Flap            | 0.0
TE_Flap_Flag              | Flap            | 0.0
TE_Flap_T                 | Flap            | 0.2
TE_Flap_DT                | Flap            | 0.0
Theta                     | XSecCurve       | 0.0
Scale                     | XSecCurve       | 1.0
DeltaX                    | XSecCurve       | 0.0
DeltaY                    | XSecCurve       | 0.0
ShiftLE                   | XSecCurve       | 0.0
Chevron_Type              | Chevron         | 0.0
Number                    | Chevron         | 8.0
On_Duty                   | Chevron         | 0.0
Off_Duty                  | Chevron         | 0.0
AllSym                    | Chevron         | 1.0
TBSym                     | Chevron         | 1.0
RLSym                     | Chevron         | 1.0
W01_Mode                  | Chevron         | 0.0
W01_Start_Guide           | Chevron         | 5.0
W01_Start                 | Chevron         | 0.0
W01_End_Guide             | Chevron         | 5.0
W01_End                   | Chevron         | 0.5
W01_Center_Guide          | Chevron         | 5.0
W01_Center                | Chevron         | 0.25
W01_Width                 | Chevron         | 0.5
TopAmplitude              | Chevron         | 1.0
BottomAmplitude           | Chevron         | 1.0
LeftAmplitude             | Chevron         | 1.0
RightAmplitude            | Chevron         | 1.0
Top_Angle                 | Chevron         | 0.0
Bottom_Angle              | Chevron         | 0.0
Right_Angle               | Chevron         | 0.0
Left_Angle                | Chevron         | 0.0
Top_Slew                  | Chevron         | 0.0
Bottom_Slew               | Chevron         | 0.0
Right_Slew                | Chevron         | 0.0
Left_Slew                 | Chevron         | 0.0
Valley_Radius             | Chevron         | 0.0
Peak_Radius               | Chevron         | 0.0
XSecImagePreserveAR       | XSecCurve_Background | 1.0
XSecImageFlag             | XSecCurve_Background | 0.0
XSecLockImageFlag         | XSecCurve_Background | 0.0
XSecImageW                | XSecCurve_Background | 1.0
XSecImageH                | XSecCurve_Background | 1.0
XSecImageXOffset          | XSecCurve_Background | 0.0
XSecImageYOffset          | XSecCurve_Background | 0.0
XSecFlipImageFlag         | XSecCurve_Background | 0.0
Area                      | XSecCurve       | 0.5655293896009359
HWRatio                   | XSecCurve       | 0.5
Ellipse_Height            | XSecCurve       | 0.6
Ellipse_Width             | XSecCurve       | 1.2
SectTess_U                | XSec            | 6.0
RadiusFrac                | XSec            | 0.4
RefLength                 | XSec            | 15.0
TE_Close_Type             | Close           | 0.0
TE_Close_AbsRel           | Close           | 0.0
TE_Close_Thick            | Close           | 0.0
TE_Close_Thick_Chord      | Close           | 0.0
LE_Close_Type             | Close           | 0.0
LE_Close_AbsRel           | Close           | 0.0
LE_Close_Thick            | Close           | 0.0
LE_Close_Thick_Chord      | Close           | 0.0
TE_Trim_Type              | Trim            | 0.0
TE_Trim_AbsRel            | Trim            | 0.0
TE_Trim_X                 | Trim            | 0.0
TE_Trim_X_Chord           | Trim            | 0.0
TE_Trim_Thick             | Trim            | 0.0
TE_Trim_Thick_Chord       | Trim            | 0.0
LE_Trim_Type              | Trim            | 0.0
LE_Trim_AbsRel            | Trim            | 0.0
LE_Trim_X                 | Trim            | 0.0
LE_Trim_X_Chord           | Trim            | 0.0
LE_Trim_Thick             | Trim            | 0.0
LE_Trim_Thick_Chord       | Trim            | 0.0
TE_Cap_Type               | Cap             | 1.0
TE_Cap_Length             | Cap             | 1.0
TE_Cap_Offset             | Cap             | 0.0
TE_Cap_Strength           | Cap             | 0.5
LE_Cap_Type               | Cap             | 1.0
LE_Cap_Length             | Cap             | 1.0
LE_Cap_Offset             | Cap             | 0.0
LE_Cap_Strength           | Cap             | 0.5
TE_Flap_Type              | Flap            | 0.0
TE_Trim_AbsRel            | Flap            | 1.0
TE_Flap_X                 | Flap            | 0.0
TE_Flap_X_Chord           | Flap            | 0.2
TE_Flap_Y_Frc             | Flap            | 0.5
TE_Flap_Deflection        | Flap            | 0.0
TE_Flap_Flag              | Flap            | 0.0
TE_Flap_T                 | Flap            | 0.2
TE_Flap_DT                | Flap            | 0.0
Theta                     | XSecCurve       | 0.0
Scale                     | XSecCurve       | 1.0
DeltaX                    | XSecCurve       | 0.0
DeltaY                    | XSecCurve       | 0.0
ShiftLE                   | XSecCurve       | 0.0
Chevron_Type              | Chevron         | 0.0
Number                    | Chevron         | 8.0
On_Duty                   | Chevron         | 0.0
Off_Duty                  | Chevron         | 0.0
AllSym                    | Chevron         | 1.0
TBSym                     | Chevron         | 1.0
RLSym                     | Chevron         | 1.0
W01_Mode                  | Chevron         | 0.0
W01_Start_Guide           | Chevron         | 5.0
W01_Start                 | Chevron         | 0.0
W01_End_Guide             | Chevron         | 5.0
